,mean,std,min,max,first,last
dp,-3.266368943491612,0.47356702265271705,-4.523640483168055,-1.8732461719809836,1871-01,2025-12
dy,-3.2626507877704993,0.47043648667049665,-4.5308937377752185,-1.9129038525871431,1871-02,2025-12
ep,-2.701564424491949,0.3878805568469482,-4.8364777613669885,-1.6700625342505353,1871-01,2025-12
de,-0.5648045189996632,0.32017567958915466,-1.2442090782864499,1.3795295487784507,1871-01,2025-12
tms,0.015365235770440248,0.013218997043371676,-0.036500000000000005,0.0455,1920-01,2025-12
dfy,0.011611370716510904,0.00682036940389333,0.0031999999999999945,0.0564,1919-01,2025-12
dfr,0.0003974576489862669,0.013809269672772361,-0.09759999999999999,0.0737,1926-01,2025-12
ltr,0.004580577303318717,0.024342390797371934,-0.1124,0.1523,1926-01,2025-12
tbl,0.033675,0.029412274516107347,0.0001,0.163,1920-01,2025-12
lty,0.049024205529595015,0.02671632218267522,0.0062,0.1482,1919-01,2025-12
ntis,0.015059246395391803,0.025856950957731592,-0.05595412377029219,0.17704122814813994,1926-12,2025-12
infl,0.0026053646486629066,0.006359405503848325,-0.03157894736842115,0.05882352941176472,1913-02,2025-12
svar,0.002539032373428051,0.005114214178107743,0.0,0.07315314404330317,1885-02,2025-12
bm,0.5399436515119849,0.26439327479665053,0.120510187998605,2.0284780578898225,1921-03,2025-12
mkt_lag,0.006982730330831247,0.053815189457975685,-0.28776100000000004,0.413312,1926-02,2025-12
